,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total,Depth,Table,Fluorescence
231,EC,0.22,F,VVS2,EX,"1,040",229,67.7,69,N
232,EC,0.22,E,VVS2,EX,"1,245",274,61.8,63,N
233,EC,0.23,D,VS1,,"1,330",306,63.1,71,N
234,EC,0.23,E,VS1,EX,"1,157",266,50,59,N
235,EC,0.23,E,VS1,EX,"1,273",293,59.3,68,N
236,EC,0.23,F,SI2,EX,713,164,62.4,64,F
237,EC,0.23,D,VVS1,,"1,803",415,67.3,71,N
238,EC,0.23,D,IF,,"1,803",415,75.9,63,F
239,EC,0.23,F,VS1,EX,"1,114",256,63.3,60,N
240,EC,0.23,G,VS1,EX,963,221,63.4,59,N
241,EC,0.23,G,SI1,,765,176,70.7,65,N
242,EC,0.24,I,VVS2,,"1,133",272,79.9,70,N
243,EC,0.24,E,SI1,,"1,279",307,62.4,82,N
244,EC,0.24,G,VS2,EX,"1,117",268,66.5,62,N
245,EC,0.24,H,VS2,EX,"1,117",268,63.1,62,N
246,EC,0.24,F,VVS2,EX,"1,330",319,53.1,68,N
247,EC,0.24,D,VVS2,EX,"1,116",268,55.1,66,N
248,EC,0.24,D,VVS1,,"1,739",417,65.6,70,F
249,EC,0.24,E,VVS1,EX,"1,117",268,65.2,61,N
250,EC,0.24,E,SI1,,761,183,66.4,68,N
251,EC,0.25,E,VS2,,"1,161",290,63.5,74,N
252,EC,0.25,E,VVS1,,"1,288",322,68.6,60,N
253,EC,0.26,G,VVS1,,"1,405",365,71.2,76,N
254,EC,0.26,E,SI1,,"1,279",333,65.2,84,N
255,EC,0.26,F,VVS1,,805,209,67.2,71,N
256,EC,0.26,G,VS1,EX,"1,153",300,67.5,64,N
257,EC,0.26,F,VVS1,EX,"1,223",318,64.9,66,N
258,EC,0.26,F,VVS1,EX,"1,223",318,66.8,70,N
259,EC,0.26,E,VVS2,EX,"1,333",347,66.1,68,N
260,EC,0.26,H,I1,,554,144,73.2,78,F
261,EC,0.26,H,SI1,,960,250,71.1,75,N
262,EC,0.26,D,VVS1,,"1,771",460,73.1,72,N
263,EC,0.26,F,SI1,EX,920,239,63,64,N
264,EC,0.27,F,SI2,,"1,222",330,58.9,69,N
265,EC,0.27,G,VVS2,EX,"1,071",289,55.6,69,N
266,EC,0.27,F,SI1,,"1,052",284,66.2,64,N
267,EC,0.27,D,VVS1,,"1,175",317,72.7,64,N
268,EC,0.28,H,VVS2,,"1,738",487,65.9,62,N
269,EC,0.28,F,SI1,,"1,045",293,64,69,N
270,EC,0.28,F,VVS1,,"1,594",446,66.5,74,N
271,EC,0.29,D,VS1,,"1,568",455,67.3,70,F
272,EC,0.29,D,VS1,,"1,386",402,68.1,63,F
273,EC,0.29,D,VS2,,"1,358",394,67.9,70,N
274,EC,0.29,E,VVS2,,"1,594",462,66.8,66,N
275,EC,0.29,E,VVS2,,"1,481",430,69.2,71,N
276,EC,0.29,F,SI1,,"1,045",303,59.6,66,N
277,EC,0.29,F,VS1,,"1,386",402,65.2,71,N
278,EC,0.29,E,VVS2,,"1,095",317,69.9,68,N
279,EC,0.29,E,SI1,,872,253,63.7,63,N
280,EC,0.29,F,VS2,,"1,040",301,71.9,66,N
281,EC,0.29,F,VS1,,"1,568",455,64.4,64,N
282,EC,0.29,G,VS1,,"1,379",400,68.2,72,N
283,EC,0.29,E,SI1,,"1,210",351,66.5,68,N
284,EC,0.29,D,VS1,,"1,442",418,72.6,72,N
285,EC,0.29,J,VS1,,792,230,66.6,70,N
286,EC,0.3,I,VS2,,936,281,68.5,63,N
287,EC,0.3,D,VS1,,"1,479",444,74.3,57,F
288,EC,0.3,E,SI1,,"1,261",378,68.5,75,N
289,EC,0.3,E,VS1,,"1,401",420,64.4,58,F
290,EC,0.3,E,VVS1,,"1,518",455,64.7,66,N
291,EC,0.3,D,SI1,,"1,190",357,66.7,64,N
292,EC,0.3,H,VS1,,"1,152",346,69,60,F
293,EC,0.3,D,IF,,"2,088",626,66.3,61,N
294,EC,0.3,E,VVS1,,"1,541",462,63.9,68,N
295,EC,0.3,D,VVS2,,"1,564",469,65.3,66,N
296,EC,0.3,G,VVS2,,"1,425",428,65.8,66,F
297,EC,0.3,H,VS2,,"1,050",315,67.2,59,N
298,EC,0.3,G,VVS2,,"1,425",428,71.5,62,N
299,EC,0.3,H,VVS2,,"1,275",382,62.7,64,N
300,EC,0.18,G,IF,,"1,151",207,65.7,69,N
301,EC,0.18,E,VVS2,,"1,260",227,70.8,70,N
302,EC,0.18,E,SI2,EX,441,79,79.5,61,N
303,EC,0.18,F,VVS1,EX,958,172,59.4,60,N
304,EC,0.18,F,SI1,EX,986,177,65,67,N
305,EC,0.18,D,VS2,,905,163,59.1,65,N
306,EC,0.18,D,SI1,,925,167,66,66,N
307,EC,0.18,E,VS1,,"1,096",197,65.9,68,N
308,EC,0.18,F,VVS2,,753,136,55,70,F
309,EC,0.18,F,VS1,,937,169,66.4,69,N
310,EC,0.18,F,VS1,,733,132,70.8,76,F
311,EC,0.18,G,VVS2,,928,167,70.6,70,N
312,EC,0.18,G,VS1,,881,159,66.3,68,N
313,EC,0.18,D,IF,,"1,090",196,59.6,68,N
314,EC,0.18,E,VS1,,987,178,59.4,73,F
315,EC,0.19,D,VVS1,EX,933,177,61.3,65,N
316,EC,0.19,E,VS2,EX,832,158,58.2,62,N
317,EC,0.19,E,SI1,EX,713,135,60.3,66,N
318,EC,0.19,E,VS1,EX,728,138,53.7,71,N
319,EC,0.19,G,VVS2,EX,813,155,62,60,N
320,EC,0.19,F,VS2,EX,655,124,77.4,64,N
321,EC,0.19,F,VVS1,EX,"1,118",212,65.9,62,N
322,EC,0.19,D,VVS1,EX,"1,383",263,63.8,64,N
323,EC,0.19,F,VS2,EX,"1,171",223,62.7,62,N
324,EC,0.19,D,IF,,"1,252",238,60.9,77,N
325,EC,0.19,E,IF,,"1,261",240,63,69,N
326,EC,0.19,E,VVS1,,"1,284",244,59.5,68,N
327,EC,0.19,F,VS2,,865,164,65.2,73,N
328,EC,0.2,F,IF,EX,921,184,55.5,61,N
329,EC,0.2,D,SI1,,919,184,65.3,69,N
330,EC,0.21,H,VS2,EX,895,188,62.2,62,N
331,EC,0.22,F,VVS2,EX,"1,040",229,67.7,69,N
332,EC,0.22,E,VVS2,EX,"1,245",274,61.8,63,N
333,EC,0.23,D,VS1,,"1,330",306,63.1,71,N
334,EC,0.23,E,VS1,EX,"1,157",266,50,59,N
335,EC,0.23,E,VS1,EX,"1,273",293,59.3,68,N
336,EC,0.23,F,SI2,EX,713,164,62.4,64,F
337,EC,0.23,D,VVS1,,"1,803",415,67.3,71,N
338,EC,0.23,D,IF,,"1,803",415,75.9,63,F
339,EC,0.23,F,VS1,EX,"1,114",256,63.3,60,N
340,EC,0.23,G,VS1,EX,963,221,63.4,59,N
341,EC,0.23,G,SI1,,765,176,70.7,65,N
342,EC,0.24,I,VVS2,,"1,133",272,79.9,70,N
343,EC,0.24,E,SI1,,"1,279",307,62.4,82,N
344,EC,0.24,G,VS2,EX,"1,117",268,66.5,62,N
345,EC,0.24,H,VS2,EX,"1,117",268,63.1,62,N
346,EC,0.24,F,VVS2,EX,"1,330",319,53.1,68,N
347,EC,0.24,D,VVS2,EX,"1,116",268,55.1,66,N
348,EC,0.24,D,VVS1,,"1,739",417,65.6,70,F
349,EC,0.24,E,VVS1,EX,"1,117",268,65.2,61,N
350,EC,0.24,E,SI1,,761,183,66.4,68,N
351,EC,0.25,E,VS2,,"1,161",290,63.5,74,N
352,EC,0.25,E,VVS1,,"1,288",322,68.6,60,N
353,EC,0.26,G,VVS1,,"1,405",365,71.2,76,N
354,EC,0.26,E,SI1,,"1,279",333,65.2,84,N
355,EC,0.26,F,VVS1,,805,209,67.2,71,N
356,EC,0.26,G,VS1,EX,"1,153",300,67.5,64,N
357,EC,0.26,F,VVS1,EX,"1,223",318,64.9,66,N
358,EC,0.26,F,VVS1,EX,"1,223",318,66.8,70,N
359,EC,0.26,E,VVS2,EX,"1,333",347,66.1,68,N
360,EC,0.26,H,I1,,554,144,73.2,78,F
361,EC,0.26,H,SI1,,960,250,71.1,75,N
362,EC,0.26,D,VVS1,,"1,771",460,73.1,72,N
