,Shape,Carat,Color,Clarity,CutGrade,pricepercarat,Total,Depth,Table,Fluorescence
421,OV,0.23,H,VS2,,"1,754",404,59,60,F
422,OV,0.23,E,VS2,EX,"1,171",269,57.6,65,N
423,OV,0.23,D,IF,EX,"1,314",302,61.9,61,N
424,OV,0.23,E,SI1,EX,"1,043",240,59,65,N
425,OV,0.23,F,VS2,,"1,820",419,61.1,61,N
426,OV,0.24,G,VVS1,,"1,480",355,58.7,61,F
427,OV,0.24,E,SI2,,"1,457",350,57.8,63,F
428,OV,0.24,G,IF,ID,"1,320",317,59.5,59,N
429,OV,0.24,D,VS2,EX,"1,114",267,59.3,67,N
430,OV,0.24,E,VS2,,"1,750",420,62.5,60,N
431,OV,0.24,D,VS2,,"2,030",487,58.6,63,F
432,OV,0.24,D,VVS1,,"1,497",359,60.1,60,N
433,OV,0.24,E,VVS2,,"1,352",325,59.9,60,N
434,OV,0.24,G,VVS1,,"1,255",301,65.8,56,N
435,OV,0.24,G,VVS2,,"1,156",277,59,58,F
436,OV,0.25,D,IF,,"1,739",435,64.3,59,N
437,OV,0.25,J,VVS2,,"1,652",413,57.5,63,N
438,OV,0.25,D,VVS2,,"2,012",503,60.6,62,N
439,OV,0.25,H,VS1,,"1,512",378,58.2,58,F
440,OV,0.25,D,VS2,,"1,120",280,64.7,59,N
441,OV,0.25,D,VVS1,,"1,497",374,62.1,63,N
442,OV,0.25,D,VVS1,,"1,497",374,64.7,59,N
443,OV,0.25,D,VVS1,,"1,497",374,64,58,N
444,OV,0.25,D,VVS1,,"1,465",366,63.1,58,N
445,OV,0.25,E,VVS1,,"1,481",370,63.7,58,N
